job_link,job_title,company_name,company_location,salary,job_type,rating,job_description,searched_job,searched_location
https://www.indeed.com/rc/clk?jk=32a1e9f70d5cac92&fccid=f2ab4689def17626&vjs=3,Staff Software Engineer - Premium Products,Discord,"Hybrid remote in San Francisco, CA 94107",Not available,Full-time,4.3,"You will work with teams across the organization such as Engineering, Product, Data Science, Design, Infrastructure, and Customer Success to ensure that the…",Python Developer,California
https://www.indeed.com/rc/clk?jk=94fbb17b3440088b&fccid=645d83ee4cbe1d25&vjs=3,Software Engineer,Blizzard Entertainment,"Irvine, CA 92618",143877,Not available,3.9,These services package and distribute daily and hourly game builds both internally to our employees and externally to millions of players worldwide.,Python Developer,California
https://www.indeed.com/rc/clk?jk=758fd5949582e678&fccid=00f9ae225292fb3a&vjs=3,Software Engineer,Applied Intuition,"Mountain View, CA",232500,Not available,Not available,"Applied Intuition provides software solutions to safely develop, test, and deploy autonomous vehicles at scale.,Experience writing ,, C++, or JavaScript.",Python Developer,California
https://www.indeed.com/rc/clk?jk=1632e183120f91c4&fccid=4781a8149f0ef5f0&vjs=3,Software Engineer,Ojas Innovative Technologies,"Los Angeles, CA",Not available,Not available,Not available,Not available,Python Developer,California
https://www.indeed.com/rc/clk?jk=c72eb635907df87d&fccid=194eef4c168b8cc5&vjs=3,Game Server Engineer,Epic Games,"Los Angeles, CA",142002,Not available,3.8,"Build tools and workflows to enable , efficiency and autonomy.,Act as a bridge and subject matter expert between game , and Unreal Engine…",Python Developer,California
https://www.indeed.com/rc/clk?jk=56510132d081ea78&fccid=ac801fd5c7e3b1bd&vjs=3,Software Developer,Uniroom,"Pasadena, CA 91105",Not available,Not available,Not available,"Participate in code and process s reviews; coordinate with other , and external vendors to execute on weekly algorithm and performance goals;",Python Developer,California
https://www.indeed.com/rc/clk?jk=a2f8fbcac1838053&fccid=26727f1861532c63&vjs=3,High Performance Computing Compiler and Tool Developer,Lawrence Livermore National Laboratory,"Livermore, CA 94550",145476,Full-time,4.2,"Engage other , and staff members frequently to share relevant knowledge and recommendations.,You will work with scientific computing teams, the open…",Python Developer,California
https://www.indeed.com/rc/clk?jk=5aad833f9322c7f0&fccid=9f95445de55b4b50&vjs=3,Automation-Engineer-Python,Celandyne Software Solutions,"Santa Clara, CA 95050",Not available,Not available,Not available,"Python programming , scripting, testing skills.,Testing in Openstack and Virtualization environments;,System and Solution testing experience.",Python Developer,California
https://www.indeed.com/rc/clk?jk=7629ce9fe98329ab&fccid=f2ab4689def17626&vjs=3,Staff Software Engineer - Applied Machine Learning,Discord,"Remote in San Francisco, CA 94107",Not available,Full-time,4.3,We're looking for a highly technical and mission-driven Senior Machine Learning Engineer to leverage ML and AI across our platform.,Python Developer,California
https://www.indeed.com/rc/clk?jk=053a1e8ef59f451f&fccid=dd616958bd9ddc12&vjs=3,Software Engineer,January Technologies,"Hybrid remote in San Francisco, CA",135000,Not available,Not available,"Develop simple solutions to complex technical scaling problems, improving , leverage, reliability, security, and compliance.",Python Developer,California
https://www.indeed.com/rc/clk?jk=b8439e2b552b7bb5&fccid=621355d16566db19&vjs=3,Senior Software Developer,DNV,"Hybrid remote in Oakland, CA",137500,Full-time,3.8,"Reviewing , code contributed by other software , to ensure that the software is accurate, well-documented, efficient, and scalable.",Python Developer,California
https://www.indeed.com/rc/clk?jk=65cbecfbe224e712&fccid=dd616958bd9ddc12&vjs=3,Machine Learning Engineer,Hayden AI Technologies,"Remote in Oakland, CA",144500,Not available,Not available,"From bus lane and bus stop enforcement to digital twin modeling and more, our clients use our mobile perception system to speed up transit, make streets safer,…",Python Developer,California
https://www.indeed.com/rc/clk?jk=e66daccb3d5be675&fccid=25039f950f78d541&vjs=3,Software Engineer III,Sirius XM,"Remote in Oakland, CA 94612",Not available,Full-time,3.6,"For this position, you will be working with data pipelines that involve numerous microservices.,You will develop new services in the cloud and optimize existing…",Python Developer,California
https://www.indeed.com/rc/clk?jk=ef20902578e4f9e0&fccid=1ba7f338730ce720&vjs=3,Full Stack Developer,Stanford University,"Stanford, CA",Not available,Full-time,4.2,"A 1 year fixed-term position is available for a Full Stack , and Javascript , in the Cherry lab in the Department of Genetics at Stanford…",Python Developer,California
https://www.indeed.com/rc/clk?jk=088eba2312b58251&fccid=3ed0572c448b2368&vjs=3,python Software Architect,Intone Networks,"San Francisco, CA",Not available,Contract,4.2,"Provide leadership, mentorship, and strategic engineering guidance * Hands-on software design and software/hardware/I.T.,Expertise in C, ,, and Linux.",Python Developer,California
https://www.indeed.com/rc/clk?jk=7aa62359ae400460&fccid=3e025c65dcbeb264&vjs=3,Java and Python Developer for Life Sciences,Genedata,"San Francisco, CA 94105",110000,Full-time,Not available,Genedata transforms data into intelligence with innovative software solutions that incorporate extensive biopharma R&D domain knowledge.,Python Developer,California
https://www.indeed.com/company/Hive/jobs/Machine-Learning-Engineer-c7adcd299be52722?fccid=5261110462a433d3&vjs=3,Machine Learning Engineer,Hive,"San Francisco, CA",150000,Full-time,Not available,"In order to execute our vision, we need to grow our team of best-in-class machine learning engineers.,Our ideal candidate has experience creating a working…",Python Developer,California
https://www.indeed.com/rc/clk?jk=511a4ae78c1b98af&fccid=3f13ab783077a3af&vjs=3,Software Engineer,California Institute of Technology,"Pasadena, CA 91125",Not available,Full-time,4.0,"We are seeking a Software Engineer to develop, implement, and integrate components of the first Earth system model (ESM) that learns automatically from global…",Python Developer,California
https://www.indeed.com/rc/clk?jk=d3338b0ab7aef0d1&fccid=09b61fff4079c152&vjs=3,"Staff Software Engineer, Full Stack",Byteboard,"Remote in San Francisco, CA",Not available,Not available,Not available,You'll collaborate closely with company leadership to define flexible and scalable frontend architecture in ReactJS for all of Byteboard's core product UIs …,Python Developer,California
https://www.indeed.com/rc/clk?jk=91f980b395dad459&fccid=915ac2967536fdec&vjs=3,Entry Level Engineer - Software or Hardware,Ampere Computing,"Santa Clara, CA 95054",120000,Full-time,4.0,"We are hiring entry level positions in both hardware and software including Architecture, Logic Design, Physical Design, Thermal and Structural platform…",Python Developer,California
https://www.indeed.com/rc/clk?jk=af764f2b2a6f5e9e&fccid=73ceef0a2153d2b8&vjs=3,Software Engineer - Lidar,Waymo,"Hybrid remote in Mountain View, CA",248500,Full-time,3.1,"Creating the embedded software that brings Waymo’s lidars to life.,Programming in C++, ,, and Verilog.,Hands on bring-up of prototype hardware and test and…",Python Developer,California
